address,care_provider,cqc_id,housing_name,telephone,url
"Leighton Buzzard, Bedfordshire, LU7 1JE",Central Bedfordshire Council,,Bedford Street / Merlins Court,0300 300 8302,http://www.housingcare.org/housing-care/facility-info-2123-bedford-street-merlins-court-leighton-buzzard-england.aspx
"Station Road, Turvey, Bedford, Bedfordshire, MK43 8BJ",Barton & Royle Homes,,Barton & Royle Homes,01234 751 460,http://www.housingcare.org/housing-care/facility-info-162656-barton-royle-homes-turvey-england.aspx
"Baker Street, Leighton Buzzard, Bedfordshire, LU7 1BL",Central Bedfordshire Council,,"Baker Street, Lamsey Court, Chapel Path",0300 300 8302,http://www.housingcare.org/housing-care/facility-info-2121-baker-street-lamsey-court-chapel-path-leighton-buzzard-england.aspx
"1-36 Queens Close, Luton, Bedfordshire, LU1 3BU",Aylott Janes Almshouses,,Aylot Janes Amlshouses,01582 731 597,http://www.housingcare.org/housing-care/facility-info-677-aylot-janes-amlshouses-park-town-england.aspx
"1 Warwick Avenue, Bedford, Bedfordshire, MK40 2UH",No Care provider found,,Aspley Court,0333 321 4041 (management),http://www.housingcare.org/housing-care/facility-info-16513-aspley-court-bedford-england.aspx
"St Kilda Road, Luton, Bedfordshire, LU4 0UP",Home Prime,,Applegrove,0345 1414 663,http://www.housingcare.org/housing-care/facility-info-116351-applegrove-lowsey-farm-england.aspx
"Acworth Crescent, Luton, Bedfordshire, LU4 9JD",Luton Borough Council,,Acworth Court,01582 54 66 46,http://www.housingcare.org/housing-care/facility-info-3857-acworth-court-luton-england.aspx
"Abigail Close, Luton, Bedfordshire, LU3 1ND",Luton Borough Council,,Abigail Court,01582 54 66 46,http://www.housingcare.org/housing-care/facility-info-3862-abigail-court-luton-england.aspx
"Ravensden Road, Renhold, Bedford, Beds, MK41 0JU",Renhold Charity Cottages,,Abbey Close,01234 771969,http://www.housingcare.org/housing-care/facility-info-85751-abbey-close-renhold-england.aspx
"Wedgewood Road, Luton, Bedfordshire, LU4 0RJ",Luton Borough Council,,Centenary Court,01582 54 66 46,http://www.housingcare.org/housing-care/facility-info-4489-centenary-court-luton-england.aspx
"Capron Road, Dunstable, Bedfordshire, LU5 5AQ",Aldwyck Housing Group,,Capron Court,0300 500 6262,http://www.housingcare.org/housing-care/facility-info-86895-capron-court-dunstable-england.aspx
"Hancock Drive, Bushmead, Luton, Beds, LU2 7GY",No Care provider found,,Bushmead Court,0800 389 9384,http://www.housingcare.org/housing-care/facility-info-85762-bushmead-court-bushmead-england.aspx
"Ashcroft Road, Luton, Bedfordshire, LU2 9DG",Luton Borough Council,,Brays Court,01582 54 66 46,http://www.housingcare.org/housing-care/facility-info-3855-brays-court-luton-england.aspx
"Queen Street, Bedford, Bedfordshire, MK40 2JJ",bpha Ltd,,Boswell Court,0330 100 0272,http://www.housingcare.org/housing-care/facility-info-5416-boswell-court-bedford-england.aspx
